epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,143.904,1.44494,2.17327,1.27348,0.61271,0.25659,0.26351,0.15147,1.40552,1.71111,1.24298,0.000332051,0.000332051,0.000332051
2,282.051,1.54129,1.71324,1.33652,0.34058,0.23147,0.21662,0.11907,1.53241,1.68921,1.31449,0.000632448,0.000632448,0.000632448
3,418.033,1.58037,1.71485,1.37118,0.28484,0.23196,0.18805,0.09912,1.61118,1.82507,1.35639,0.000899845,0.000899845,0.000899845
4,556.461,1.59519,1.67184,1.37223,0.28685,0.27437,0.20183,0.10474,1.61643,1.62917,1.35763,0.0008515,0.0008515,0.0008515
5,690.851,1.5535,1.62074,1.35729,0.33305,0.29865,0.24709,0.13429,1.51083,1.56648,1.27903,0.000802,0.000802,0.000802
6,875.666,1.51176,1.59634,1.33965,0.39424,0.28595,0.27255,0.14272,1.50646,1.50888,1.30386,0.0007525,0.0007525,0.0007525
7,1068.71,1.49964,1.53809,1.33436,0.34882,0.32978,0.28635,0.16487,1.4734,1.4367,1.26526,0.000703,0.000703,0.000703
8,1268.89,1.4601,1.48348,1.30743,0.43054,0.28512,0.27868,0.16432,1.46066,1.41273,1.25974,0.0006535,0.0006535,0.0006535
9,1465.11,1.46856,1.47403,1.30079,0.37198,0.27047,0.27435,0.16675,1.43511,1.37674,1.24066,0.000604,0.000604,0.000604
10,1654.4,1.41904,1.4124,1.27591,0.47951,0.29521,0.30177,0.18856,1.41649,1.3672,1.23609,0.0005545,0.0005545,0.0005545
11,1811.09,1.42072,1.42292,1.25053,0.42553,0.33302,0.32651,0.18532,1.44016,1.33759,1.24622,0.000505,0.000505,0.000505
12,1949.73,1.39401,1.32692,1.23498,0.52905,0.3181,0.32749,0.19552,1.38564,1.31017,1.21916,0.0004555,0.0004555,0.0004555
13,2087.26,1.36732,1.29284,1.21954,0.4793,0.32339,0.3317,0.20183,1.38028,1.23943,1.21675,0.000406,0.000406,0.000406
14,2228.56,1.33349,1.23931,1.20839,0.56366,0.30771,0.34821,0.20514,1.37709,1.2465,1.21641,0.0003565,0.0003565,0.0003565
15,2367.41,1.31547,1.20828,1.19926,0.45343,0.34125,0.3455,0.20772,1.36813,1.21503,1.20534,0.000307,0.000307,0.000307
16,2505.29,1.27896,1.16865,1.18191,0.54698,0.33731,0.35675,0.21812,1.36387,1.22097,1.19999,0.0002575,0.0002575,0.0002575
17,2646.98,1.26232,1.11639,1.16688,0.53325,0.34541,0.36585,0.22594,1.33873,1.18986,1.17936,0.000208,0.000208,0.000208
18,2814.59,1.22925,1.08095,1.14006,0.53374,0.35643,0.37543,0.23545,1.3161,1.15859,1.17463,0.0001585,0.0001585,0.0001585
19,2996,1.2295,1.05062,1.14525,0.53935,0.34126,0.37102,0.23201,1.31332,1.13135,1.17307,0.000109,0.000109,0.000109
20,3172.61,1.20507,1.0375,1.13282,0.49601,0.3644,0.37995,0.23733,1.29271,1.11782,1.16177,5.95e-05,5.95e-05,5.95e-05
