epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.4473,1.26886,2.13887,1.23938,0.51386,0.33633,0.33587,0.21093,1.28678,1.84281,1.22194,0.000330769,0.000330769,0.000330769
2,33.6775,1.38169,1.65892,1.32571,0.48302,0.29685,0.29745,0.16706,1.44049,1.81895,1.36798,0.000650953,0.000650953,0.000650953
3,48.4785,1.45683,1.69001,1.37189,0.33074,0.29158,0.21921,0.12135,1.54104,1.93161,1.44097,0.000957937,0.000957937,0.000957937
4,63.2076,1.47106,1.64365,1.387,0.34408,0.28506,0.25395,0.13669,1.52429,1.74595,1.42587,0.0009406,0.0009406,0.0009406
5,77.8347,1.44419,1.58884,1.37779,0.39833,0.26278,0.25246,0.14418,1.5352,1.65449,1.42119,0.0009208,0.0009208,0.0009208
6,92.4718,1.42406,1.52369,1.36677,0.36955,0.32671,0.28796,0.16345,1.47799,1.56921,1.39432,0.000901,0.000901,0.000901
7,107.411,1.41788,1.48471,1.3522,0.37326,0.28465,0.26776,0.14458,1.46091,1.50745,1.36663,0.0008812,0.0008812,0.0008812
8,121.973,1.38621,1.44506,1.33523,0.49485,0.28695,0.30886,0.18201,1.43819,1.45135,1.34667,0.0008614,0.0008614,0.0008614
9,136.553,1.3841,1.40639,1.33108,0.35994,0.28366,0.27329,0.14821,1.4722,1.46713,1.37493,0.0008416,0.0008416,0.0008416
10,151.167,1.36837,1.38351,1.32944,0.51431,0.32986,0.33509,0.19127,1.44445,1.5025,1.35561,0.0008218,0.0008218,0.0008218
11,165.806,1.34792,1.36847,1.32196,0.41003,0.33524,0.30732,0.17549,1.43258,1.43951,1.35897,0.000802,0.000802,0.000802
